"Identity","Name","Description","Identity e-mail","Phonenumber","Keywords","Adres","PC","Gemeente","Taal","Actief","Nieuwe identity"
2107,"ACG-HS","Hyundai ACG-HS info@acg.hyundai.be","info@acg.hyundai.be","09/232.33.00","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, ACG-HS, GENT (Ledeberg), A. Heyndrickxlaan 1, 9050","A. Heyndrickxlaan 1","9050","GENT (Ledeberg)","NL",1,"service@acg.hyundai.be"
2016,"AUTOBEDRIJF ANTORETI","Hyundai AUTOBEDRIJF ANTORETI info@antoreti.hyundai.be","info@antoreti.hyundai.be","052/48.09.37","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, AUTOBEDRIJF ANTORETI, HAMME, Zwaarveld 40, 9220","Zwaarveld 40","9220","HAMME","NL",1,"service@antoreti.hyundai.be"
2018,"SUD MOTOR","Hyundai SUD MOTOR info@sudmotor.huy.hyundai.be","info@sudmotor.huy.hyundai.be","085/23.58.10","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, SUD MOTOR, TIHANGE, Quai d'Arona 18, 4500","Quai d'Arona 18","4500","TIHANGE","F",1,"service.huy@sudmotor.hyundai.be"
2078,"AUTO-CONSTANT","Hyundai AUTO-CONSTANT info@auto-constant.hyundai.be","info@auto-constant.hyundai.be","087/67.59.25","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, AUTO-CONSTANT, CHAINEUX Rue du Trèfle 10, 4650","Rue du Trèfle 10","4650","CHAINEUX","F",1,"service@auto-constant.hyundai.be"
9910,"AUTODIS","Hyundai AUTODIS info@autodis.hyundai.lu","info@autodis.hyundai.lu","00352/26.55.56.1","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, AUTODIS, ESCH-sur-ALZETTE ZI ""Um Monkeler"" 18, op der Drieschen, L-4149","ZI ""Um Monkeler"" 18, op der Drieschen","L-4149","ESCH-sur-ALZETTE","F",1,"service@autodis.hyundai.lu"
2099,"AUTODIS CITY","Hyundai AUTODIS CITY info@autodiscity.hyundai.lu","info@autodiscity.hyundai.lu","00352/26.97.96.90","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, AUTODIS CITY, Boulevard Joseph II, 11A,  L-1840","Boulevard Joseph II  11A","L-1840","LUXEMBOURG","F",0,"please delete"
2047,"AUTOLOR","Hyundai AUTOLOR info@autolor.hyundai.be","info@autolor.hyundai.be","063/38.30.45","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, AUTOLOR, AUBANGE Avenue Champion  3, 6790","Avenue Champion  3","6790","AUBANGE","F",0,"please delete"
2060,"AYWAILLE MOTOR","Hyundai AYWAILLE MOTOR info@aywaillemotor.hyundai.be","info@aywaillemotor.hyundai.be","04/384.59.19","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, AYWAILLE MOTOR, AYWAILLE, Rue du Chalet 105, 4920","Rue du Chalet 105","4920","AYWAILLE","F",1,"service@aywaillemotor.hyundai.be"
2036,"GARAGE BARBIEUX","Hyundai GARAGE BARBIEUX info@barbieux.hyundai.be","info@barbieux.hyundai.be","065/45.70.45","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE BARBIEUX, QUIEVRAIN Rue des Wagnons 25, 7380","Rue des Wagnons 25","7380","QUIEVRAIN","F",1,"service@barbieux.hyundai.be"
2066,"Garage G. BECKERS","Hyundai Garage G. BECKERS info@beckers.hyundai.be","info@beckers.hyundai.be","089/41.33.61","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, Garage G. BECKERS, BILZEN Maastrichterstraat 212, 3740","Maastrichterstraat 212","3740","BILZEN","NL",1,"service@beckers.hyundai.be"
